nl_text,code_snippet
how can i perform a ping or traceroute using native python?,"webb.traceroute('your-web-page-url', 'file-name.txt')"
remove 20 symbols in front of '.' in string 'unique12345678901234567890.mkv',"re.sub('.{20}(.mkv)', '\\1', 'unique12345678901234567890.mkv')"
flask application traceback doesn't show up in server log,app.run(debug=True)
how to remove more than one space when reading text file,"reader = csv.reader(f, delimiter=' ', skipinitialspace=True)"
how to execute manage.py from the python shell,"execute_from_command_line(['manage.py', 'syncdb'])"
how to crop zero edges of a numpy array?,"array([[1, 0, 1, 1], [0, 0, 0, 0], [1, 1, 1, 0]])"
specifying and saving a figure with exact size in pixels,"plt.savefig('myfig.png', dpi=1000)"
detect text area in an image using python and opencv,"return cv2.findContours(img, cv2.RETR_EXTERNAL, cv2.CHAIN_APPROX_SIMPLE)"
get the name of the os,print(os.name)
can python test the membership of multiple values in a list?,"set(['a', 'b']).issubset(['b', 'a', 'foo', 'bar'])"
how to convert a date string '2013-1-25' in format '%y-%m-%d' to different format '%m/%d/%y',"datetime.datetime.strptime('2013-1-25', '%Y-%m-%d').strftime('%m/%d/%y')"
get value of the environment variable 'key_that_might_exist',print(os.environ.get('KEY_THAT_MIGHT_EXIST'))
truth value of numpy array with one falsey element seems to depend on dtype,"np.array(['a', 'b']) != 0"
python: how to make a list of n numbers and randomly select any number?,random.choice(mylist)
updating a numpy array with another,"np.concatenate((a, val))"
numpy: how to check if array contains certain numbers?,"numpy.in1d(b, a)"
django order by highest number of likes,Article.objects.annotate(like_count=Count('likes')).order_by('-like_count')
convert string `s` to lowercase,s.lower()
"concatenate key/value pairs in dictionary `a` with string ', ' into a single string",""""""", """""".join([(str(k) + ' ' + str(v)) for k, v in list(a.items())])"
replace the last occurence of an expression '</div>' with '</bad>' in a string `s`,"re.sub('(.*)</div>', '\\1</bad>', s)"
how can i get an array of alternating values in python?,"np.resize([1, -1], 11)"
python remove last 3 characters of a string,foo = ''.join(foo.split())[:-3].upper()
what is the best way to convert a sympy matrix to a numpy array/matrix,np.array(g).astype(np.float64)
what is the most efficient way to check if a value exists in a numpy array?,"np.any(my_array[:, (0)] == value)"
how do i convert an integer to a list of bits in python,[int(n) for n in bin(21)[2:].zfill(8)]
separate each character in string `s` by '-',"re.sub('(.)(?=.)', '\\1-', s)"
filtering all rows with nat in a column in dataframe python,"df.query('b == ""NaT""')"
how to add group labels for bar charts in matplotlib?,plt.show()
opposite of melt in python pandas,"origin.groupby(['label', 'type'])['value'].aggregate('mean').unstack()"
extracting column `1` and `9` from array `data`,"data[:, ([1, 9])]"
interoperating with django/celery from java,CELERY_ROUTES = {'mypackage.myclass.runworker': {'queue': 'myqueue'}}
"numpy, how to get a sub matrix with boolean slicing","np.array(m2)[:, (1)] > 10"
how to write a gstreamer plug-in in cython,initgstreamer()
get a request parameter `a` in jinja2,{{request.args.get('a')}}
find and replace string values in python list,"words = [word.replace('[br]', '<br />') for word in words]"
convert a string into a list,list('hello')
how to print out the indexes in a list with repetitive elements,"[1, 4, 5, 6, 7]"
print multiple arguments in python,"print(('Total score for', name, 'is', score))"
search strings using regular expression in python,"results = [r for k in keywords for r in re.findall(k, message.lower())]"
group dictionary key values in python,mylist.sort(key=itemgetter('mc_no'))
read only the first line of a file?,fline = open('myfile').readline().rstrip()
mapping over values in a python dictionary,"my_dictionary = {k: f(v) for k, v in list(my_dictionary.items())}"
changing the length of axis lines in matplotlib,ax.get_xticklines()[i].set_visible(False)
count the number of non-nan elements in a numpy ndarray matrix `data`,np.count_nonzero(~np.isnan(data))
get the position of item 1 in `testlist`,"for i in (i for (i, x) in enumerate(testlist) if (x == 1)):
    pass"
python : how to append new elements in a list of list?,"[1, 2, 3, 4]"
how to do bitwise exclusive or of two strings in python?,"l = [(ord(a) ^ ord(b)) for a, b in zip(s1, s2)]"
read the first line of a string `my_string`,my_string.splitlines()[0]
applying regex to a pandas dataframe,df['Season'].apply(split_it)
confusing with the usage of regex in python,"re.findall('([a-z])*', 'f233op')"
random decimal in python,decimal.Decimal(str(random.random()))
execute terminal command from python in new terminal window?,"subprocess.call(['gnome-terminal', '-x', 'python bb.py'])"
how to get field type string from db model in django,model._meta.get_field('g').get_internal_type()
how to create broken vertical bar graphs in matpltolib?,plt.show()
output first 100 characters in a string,print(my_string[0:100])
how to convert string to class sub-attribute with python,"getattr(getattr(getattr(f, 'bar'), 'baz'), 'quux')"
similarity of lists in python - comparing customers according to their features,"[[3, 1, 2], [1, 3, 1], [2, 1, 3]]"
joining rows based on value conditions,"df.groupby(['year', 'bread'])['amount'].sum().reset_index()"
how to filter from csv file using python script,"csv.writer(open('abx.csv', 'w'), delimiter=' ').writerows(filtered)"
how to annotate text along curved lines in python?,plt.xlabel('X')
pars a string 'http://example.org/#comments' to extract hashtags into an array,"re.findall('#(\\w+)', 'http://example.org/#comments')"
convert a pandas dataframe to a dictionary,df.set_index('ID').T.to_dict('list')
convert dictionaries into string python,""""""", """""".join('{} {}'.format(k, v) for k, v in list(d.items()))"
"list all files of a directory ""somedirectory""",os.listdir('somedirectory')
a simple way to remove multiple spaces in a string in python,"re.sub(' +', ' ', 'The     quick brown    fox')"
pandas split string into columns,df['stats'].apply(pd.Series)
"remove last comma character ',' in string `s`",""""""""""""".join(s.rsplit(',', 1))"
execute command 'source .bashrc; shopt -s expand_aliases; nuke -x scriptpath' from python script,os.system('source .bashrc; shopt -s expand_aliases; nuke -x scriptPath')
split string 'qh qd jc kd js' into a list on white spaces,"""""""QH QD JC KD JS"""""".split()"
replace string 'in.' with ' in. ' in dataframe `df` column 'a',"df['a'] = df['a'].str.replace('in.', ' in. ')"
selecting positive certain values from a 2d array in python,"[[0.0, 3], [0.1, 1]]"
match blank lines in `s` with regular expressions,"re.split('\n\\s*\n', s)"
how do i check if a string is unicode or ascii?,s.decode('ascii')
modify a data frame column with list comprehension,"df = pd.DataFrame(['some', 'short', 'string', 'has', 'foo'], columns=['col1'])"
"copy 2d array into 3rd dimension, n times (python)","c = np.array([1, 2, 3])"
get the absolute path of a running python script,os.path.abspath(__file__)
terminating qthread gracefully on qdialog reject(),time.sleep(0.5)
"python: convert ""5,4,2,4,1,0"" into [[5, 4], [2, 4], [1, 0]]","zip(*([iter(num_str.split(','))] * 4))"
how to draw a heart with pylab,plt.show()
"how to get files in a directory, including all subdirectories","print(os.path.join(dirpath, filename))"
"generate all possible string permutations of each two elements in list `['hel', 'lo', 'bye']`","print([''.join(a) for a in combinations(['hel', 'lo', 'bye'], 2)])"
using multipartposthandler to post form-data with python,print(urllib.request.urlopen(request).read())
numpy array assignment using slicing,"values = np.array([i for i in range(100)], dtype=np.float64)"
python sort multidimensional array based on 2nd element of subarray,"sorted(lst, key=operator.itemgetter(1), reverse=True)"
how do i count unique values inside an array in python?,len(set(new_words))
encoding binary data in flask/jinja2,entry['image'] = entry['image'].encode('base64')
how do you set the column width on a qtreeview?,self.view.header().setModel(model)
how to unset csrf in modelviewset of django-rest-framework?,"return super(MyModelViewSet, self).dispatch(*args, **kwargs)"
fastest way to store large files in python,"gzip.GzipFile('output file name', 'wb')"
convert a string of bytes into an int (python),"int.from_bytes('y\xcc\xa6\xbb', byteorder='little')"
format datetime in `dt` as string in format `'%m/%d/%y`,dt.strftime('%m/%d/%Y')
create a regular expression object with a pattern that will match nothing,re.compile('a^')
python list of tuples to list of int,y = [j for i in x for j in i]
string formatting in python,"print('[%i, %i, %i]' % (1, 2, 3))"
"need to add space between subplots for x axis label, maybe remove labelling of axis notches",ax1.set_xticklabels([])
sort a list of tuples `b` by third item in the tuple,b.sort(key=lambda x: x[1][2])
printing tuple with string formatting in python,"print('this is a tuple: %s' % (thetuple,))"
get all the elements except strings from the list 'lst'.,"[element for element in lst if not isinstance(element, str)]"
connect points with same value in python matplotlib,plt.show()
looping over all member variables of a class in python,"['blah', 'bool143', 'bool2', 'foo', 'foobar2000']"
numpy int array: find indices of multiple target ints,"np.where(np.in1d(values, searchvals))"
get the context of a search by keyword 'my keywords' in beautifulsoup `soup`,k = soup.find(text=re.compile('My keywords')).parent.text
row-to-column transposition in python,"[(1, 4, 7), (2, 5, 8), (3, 6, 9)]"
how to make a log log histogram in python,plt.show()
get a list of values for key 'key' from a list of dictionaries `l`,[d['key'] for d in l]
changing figure size with subplots,"f, axs = plt.subplots(2, 2, figsize=(15, 15))"
reverse indices of a sorted list,"sorted(x[::-1] for x in enumerate(['z', 'a', 'c', 'x', 'm']))"
flattening a list of numpy arrays?,np.concatenate(input_list).ravel().tolist()
update a user's name as `bob marley` having id `123` in sqlalchemy,session.query(User).filter_by(id=123).update({'name': 'Bob Marley'})
how to display a numpy array with pyglet?,"label3 = numpy.dstack((label255, label255, label255))"
